fare_id,destination_id,origin_id
M_2,23_SMA_METRO,137_GHM_METRO
M_1,86_SAD_METRO,137_GHM_METRO
M_1,159_DMD_METRO,137_GHM_METRO
M_2,246_DAR_METRO,137_GHM_METRO
M_3,10_HLW_METRO,137_GHM_METRO
M_1,98_ORA_METRO,137_GHM_METRO
M_1,223_MAT_METRO,137_GHM_METRO
M_1,180_KQO_METRO,137_GHM_METRO
M_2,232_NKH_METRO,137_GHM_METRO
M_2,251_NMR_METRO,137_GHM_METRO
M_1,223_HZT_METRO,137_GHM_METRO
M_1,32_MSH_Metro,137_GHM_METRO
M_2,26_KZK_METRO,137_GHM_METRO
M_1,47_ZEI_Metro,137_GHM_METRO
M_2,246_HMA_METRO,137_GHM_METRO
M_1,160_MSD_METRO,137_GHM_METRO
M_2,251_MRG_METRO,137_GHM_METRO
M_2,28_TBA_METRO,137_GHM_METRO
M_3,10_AHL_METRO,137_GHM_METRO
M_1,180_SQO_METRO,137_GHM_METRO
M_1,87_NAS_METRO,137_GHM_METRO
M_1,52_SZA_Metro,137_GHM_METRO
M_3,14_HHL_METRO,137_GHM_METRO
M_3,10_UHL_METRO,137_GHM_METRO
M_2,31_ZAH_Metro,137_GHM_METRO
M_3,14_HOF_METRO,137_GHM_METRO
M_1,180_HQO_METRO,137_GHM_METRO
M_3,27_TAS_METRO,137_GHM_METRO
M_3,7_MAA_METRO,137_GHM_METRO
M_2,226_AIN_METRO,137_GHM_METRO
M_2,23_MAD_METRO,137_GHM_METRO
M_1,100_SHO_METRO,137_GHM_METRO
M_1,34_MGR_METRO,137_GHM_METRO
M_1,178_DZT_METRO,137_GHM_METRO
M_1,370_CUN_METRO,137_GHM_METRO
M_2,369_FAS_METRO,137_GHM_METRO
M_1,144_MSA_METRO,137_GHM_METRO
M_1,157_KHL_METRO,137_GHM_METRO
M_1,81_ATT_METRO,137_GHM_METRO
M_2,263_MON_METRO,137_GHM_METRO
M_1,158_MZL_METRO,137_GHM_METRO
M_1,153_RFG_METRO,137_GHM_METRO
M_2,457_OMS_METRO,137_GHM_METRO
M_1,237_OPR_METRO,137_GHM_METRO
M_1,361_DOK_METRO,137_GHM_METRO
